,m,x,y,z,vx,vy,vz
99,0.0015965248,1.59861,-19.0058,6.83611,-0.00913277,1.43129,0.131367
100,0.0015965248,1.61994,-18.969,6.93531,-0.419786,1.31715,-0.592409
101,0.0015965248,1.88452,-19.0174,6.91442,-0.288732,0.212166,-0.415298
102,0.0015965248,1.85641,-19.1012,6.73367,-0.942897,0.0742509,-0.271071
103,0.0015965248,1.83314,-19.0432,6.92286,-0.242677,0.0466043,-0.325054
104,0.0015965248,1.64601,-18.9864,6.72772,0.0932977,1.22617,-1.1389
105,0.0015965248,1.70016,-19.0834,6.68465,-0.492677,1.11758,0.55719
106,0.0015965248,1.86473,-18.9687,6.86581,0.127044,0.27875,-0.765996
107,0.0015965248,1.82786,-18.9162,6.87886,0.216193,0.965494,-0.853587
108,0.0015965248,1.78911,-18.9274,6.7282,0.512459,0.687271,-0.590152
109,0.0015965248,1.78901,-18.9113,6.76245,0.558419,0.844234,-0.271958
110,0.0015965248,1.85793,-18.9403,6.91452,-0.0748374,0.327673,-0.227116
111,0.0015965248,1.84052,-19.1632,6.73398,-0.935547,0.236321,-0.129025
112,0.0015965248,1.58919,-19.0783,6.7689,-0.0476498,1.61458,-0.1412
113,0.0015965248,1.8836,-19.0345,6.64371,-0.112781,0.648741,-0.042984
114,0.0015965248,1.81005,-19.1352,6.70526,-1.29838,0.528108,-0.350817
115,0.0015965248,1.63793,-18.8873,6.77806,0.251729,1.19628,-0.273006
116,0.0015965248,1.84267,-18.9533,6.88851,-0.192748,0.0569211,-0.105712
117,0.0015965248,1.70373,-18.9089,6.73515,0.47133,0.97579,-0.644257
118,0.0015965248,1.68404,-19.0825,6.88927,-0.687463,0.80146,-1.39988
119,0.0015965248,1.78075,-18.9512,6.68094,0.154363,0.788423,0.318967
120,0.0015965248,1.81651,-19.1156,6.77591,-0.711565,-0.253455,-0.309684
121,0.0015965248,1.83362,-18.933,6.69487,0.346237,0.678182,-0.557723
122,0.0015965248,1.68759,-19.0007,6.9183,0.257124,1.39901,-0.00587863
123,0.0015965248,1.65664,-18.9812,6.67927,-0.331795,1.54987,0.157918
124,0.0015965248,1.86017,-18.9079,6.76891,0.264407,0.553821,0.0168313
125,0.0015965248,1.78835,-19.2402,6.80121,-1.07003,0.8267,-0.634874
126,0.0015965248,1.60658,-18.9329,6.78235,0.317416,0.800672,0.0544466
127,0.0015965248,1.79186,-18.919,6.70681,0.394382,0.458274,-0.477662
128,0.0015965248,1.79996,-18.9054,6.71598,0.362731,0.456017,-0.532182
129,0.0015965248,1.64531,-19.1705,6.78664,-0.585251,1.75439,-0.573037
130,0.0015965248,1.80442,-19.1816,6.78428,-1.22581,0.278577,-0.328375
131,0.0015965248,1.74152,-18.9091,6.67062,0.272832,1.14457,-0.608843
132,0.0015965248,1.6833,-18.9633,6.71458,0.107245,1.15372,0.516656
133,0.0015965248,1.91869,-19.0885,6.78682,-0.156838,0.108314,-0.750259
134,0.0015965248,1.73905,-18.8482,6.87218,0.282195,0.868498,-0.490444
135,0.0015965248,1.86717,-19.0711,6.79836,-0.0104174,-0.146088,-0.694844
136,0.0015965248,1.82199,-18.9133,6.73831,0.273289,0.197581,-0.582976
137,0.0015965248,1.86539,-18.8586,6.86988,-0.0911611,0.490064,-0.691122
138,0.0015965248,1.58361,-19.0625,6.8313,-0.574417,1.80146,-0.42674
139,0.0015965248,1.9041,-18.9638,6.84326,-0.200326,0.247697,-0.979291
140,0.0015965248,1.8563,-19.1438,6.84246,-0.743983,-0.0442466,-0.0938104
141,0.0015965248,1.79919,-18.8942,6.75092,0.320339,0.825095,-1.02458
142,0.0015965248,1.80682,-19.1998,6.71316,-1.15557,0.489502,-0.519221
143,0.0015965248,1.6004,-19.1107,6.7867,-0.515142,1.71369,-0.886125
144,0.0015965248,1.70431,-18.9633,6.73954,-0.28187,0.722644,-1.58315
145,0.0015965248,1.90855,-19.0867,6.72797,-0.910299,0.183815,-0.690087
146,0.0015965248,1.74349,-18.916,6.75113,0.631074,0.588304,-0.102198
147,0.0015965248,1.60442,-19.0233,6.64685,-0.743979,1.37809,-0.0609734
148,0.0015965248,1.71494,-19.0119,6.86824,0.704481,1.33136,-0.723228
149,0.0015965248,1.9049,-19.1206,6.84988,-0.212825,0.0918141,-0.00876299
150,0.0015965248,1.72331,-18.8514,6.78646,0.395054,1.12423,-0.541348
151,0.0015965248,1.81247,-19.1945,6.83741,-1.2408,0.434648,-0.138799
152,0.0015965248,1.86569,-18.9783,6.80134,0.582411,0.465941,-0.0765669
153,0.0015965248,1.85519,-19.1946,6.7102,-0.903113,0.725811,-0.9314
154,0.0015965248,1.58134,-19.143,6.75712,-0.825286,1.52122,-0.683827
155,0.0015965248,1.67019,-19.0953,6.71977,-0.363909,1.32753,-1.43089
156,0.0015965248,1.79054,-19.1726,6.70202,-1.33829,0.820576,-0.630714
157,0.0015965248,1.59706,-19.1597,6.90704,-0.464291,1.35382,0.0469443
158,0.0015965248,1.74403,-19.1597,6.68821,-1.38334,0.997081,-0.250007
159,0.0015965248,1.54692,-18.9649,6.78507,0.0422696,1.19604,0.141538
160,0.0015965248,1.6074,-19.0675,6.67615,-0.610355,1.62476,-0.0432889
161,0.0015965248,1.57722,-19.0414,6.81775,0.296255,1.45164,-0.0286697
162,0.0015965248,1.61525,-19.1167,6.86581,-0.708008,1.6316,-0.945123
163,0.0015965248,1.73055,-18.8576,6.84917,0.333089,0.413603,-0.597508
164,0.0015965248,1.78694,-19.0401,6.61104,-0.976314,0.999227,0.172352
165,0.0015965248,1.71246,-18.8461,6.77078,0.354386,1.02075,-0.0105015
166,0.0015965248,1.63112,-18.9495,6.84868,-0.120079,1.74461,0.130015
167,0.0015965248,1.6245,-18.9738,6.73382,-0.0122817,1.83049,-0.583518
168,0.0015965248,1.55915,-18.998,6.82487,-0.177471,1.56256,-0.890203
169,0.0015965248,1.93642,-18.9895,6.75724,0.117151,0.210183,-0.196777
170,0.0015965248,1.72368,-18.827,6.77694,0.187696,1.04239,-0.874274
171,0.0015965248,1.68836,-19.2065,6.80684,-1.22809,0.852904,0.20875
172,0.0015965248,1.65797,-18.81,6.74166,0.124647,1.03105,-0.30763
173,0.0015965248,1.94889,-19.0473,6.78493,-0.244872,0.0282885,-0.182357
174,0.0015965248,1.62727,-19.0791,6.64237,-0.451753,1.63551,-0.189513
175,0.0015965248,1.6827,-19.1955,6.77649,-1.15787,1.06698,-1.07852
176,0.0015965248,1.64167,-18.9138,6.80994,-0.000131786,1.83018,-0.402815
177,0.0015965248,1.7019,-18.9527,6.7767,0.608275,0.980478,-1.15503
178,0.0015965248,1.55954,-19.043,6.77876,-0.313731,1.79645,-0.537649
179,0.0015965248,1.57944,-18.9985,6.78636,0.130932,1.55265,0.147553
180,0.0015965248,1.70918,-18.8908,6.78679,0.636976,1.18576,-0.308152
181,0.0015965248,1.92654,-19.1345,6.71099,-0.782653,0.232969,-0.100765
182,0.0015965248,1.69967,-18.8572,6.71386,0.185846,1.44836,-0.274714
183,0.0015965248,1.80324,-19.0988,6.56875,-0.40932,0.548467,-0.0289822
184,0.0015965248,1.66447,-19.1963,6.79382,-1.23502,1.44268,-0.169024
