m,x,y,z,vx,vy,vz
0.0031930496,1.74668,-19.0253,6.79166,-0.420658,0.5973189999999999,-0.37661
0.0031930496,1.7005599999999998,-19.0035,6.831869999999999,-0.305732,0.9587829999999999,-0.149375
0.0031930496,1.7730099999999998,-19.012999999999998,6.800160000000001,-0.226915,0.402915,-0.18724100000000002
0.0031930496,1.8159900000000002,-19.0531,6.82844,-0.456958,0.639559,-0.435593
0.0031930496,1.7661200000000001,-19.0548,6.837160000000001,-0.695444,0.931998,-0.759405
0.0031930496,1.76562,-19.0317,6.84715,-0.483433,0.362284,-0.433775
0.0031930496,1.6974200000000002,-19.0138,6.73435,-0.44339700000000004,0.535203,-0.415921
0.0031930496,1.7409700000000001,-19.0844,6.75588,-0.7377090000000001,0.8451120000000001,-0.827197
0.0031930496,1.70505,-19.0661,6.825019999999999,-0.572025,1.37572,-0.16096
0.0031930496,1.76395,-19.1034,6.80479,-0.773282,0.38119200000000003,-0.298558
0.0031930496,1.66009,-19.0694,6.771710000000001,-0.5967020000000001,1.22947,-0.34237399999999996
0.0031930496,1.80653,-19.0127,6.85303,-0.363113,0.36735300000000004,-0.256817
0.0031930496,1.68871,-19.0318,6.8169,-0.21426599999999998,1.1680700000000002,0.241418
0.0031930496,1.71912,-19.0313,6.70017,-0.632903,1.07188,-0.6378590000000001
0.0031930496,1.76783,-19.0456,6.87229,0.10313699999999999,1.09733,-0.30899099999999996
0.0031930496,1.7370400000000001,-19.1418,6.81504,-0.786619,0.553574,-0.35082800000000003
0.0031930496,1.82856,-19.108,6.784789999999999,-0.42511000000000004,0.540804,-0.755788
0.0031930496,1.66061,-19.0497,6.8301300000000005,-0.059386400000000006,1.33292,-0.312067
0.0031930496,1.71535,-18.9648,6.8509199999999995,0.0631914,1.07987,-0.560964
0.0031930496,1.8467799999999999,-19.082,6.7895199999999996,-0.325297,0.317494,-0.368678
0.0031930496,1.79518,-19.0147,6.7108300000000005,0.0541976,0.6902520000000001,-0.17064100000000001
0.0031930496,1.7380400000000003,-19.0712,6.866160000000001,-0.25055900000000003,1.52145,-0.153152
0.0031930496,1.6781099999999998,-19.0555,6.79042,-0.47872700000000007,1.25416,0.35276
0.0031930496,1.78295,-18.9752,6.7359800000000005,0.138597,0.564962,-0.681371
0.0031930496,1.81123,-19.1279,6.79632,-0.878959,0.39310100000000003,-0.45478
0.0031930496,1.7211299999999998,-19.1651,6.839919999999999,-0.792535,0.631312,-0.290588
0.0031930496,1.7145400000000002,-19.1183,6.7333300000000005,-0.816153,0.851269,-0.9383959999999999
0.0031930496,1.7597,-19.0421,6.93485,-0.602152,0.7290979999999999,-0.564282
0.0031930496,1.7913599999999998,-19.0742,6.767519999999999,-0.802855,0.745528,-1.2128
0.0031930496,1.66261,-18.9737,6.813280000000001,-0.390855,1.5185899999999999,-0.0466
0.0031930496,1.75355,-18.9316,6.802289999999999,0.173618,1.2870700000000002,-0.504129
0.0031930496,1.65251,-19.0327,6.7769,0.11708199999999999,0.7888539999999999,0.22881300000000002
0.0031930496,1.73538,-19.1537,6.84983,-0.453628,0.348022,-0.721059
0.0031930496,1.78234,-19.0614,6.93065,-0.143404,0.7651100000000001,-0.159878
0.0031930496,1.85568,-19.1532,6.821219999999999,-0.600288,0.595275,-0.5044029999999999
0.0031930496,1.79788,-19.0283,6.82095,0.353903,0.457643,-0.785219
0.0031930496,1.75548,-19.1167,6.775530000000001,-1.14822,0.314197,-0.41546099999999997
0.0031930496,1.7637099999999999,-19.1259,6.69481,-0.667064,0.521464,-0.0482889
0.0031930496,1.61529,-19.0249,6.71252,-0.26528,0.8265819999999999,-0.696631
0.0031930496,1.64,-19.0899,6.814830000000001,-0.695239,1.4176600000000001,0.0627008
0.0031930496,1.8526900000000002,-18.9837,6.8032699999999995,0.0299025,0.315314,-0.117471
0.0031930496,1.70658,-19.0216,6.78758,0.305969,1.0899,-1.09828
0.0031930496,1.7632900000000002,-19.0229,6.699380000000001,0.34233,0.654606,-0.20328
0.0031930496,1.65897,-19.0238,6.80242,-0.054757799999999995,1.58368,0.0793108
0.0031930496,1.7349900000000003,-19.055999999999997,6.8669199999999995,-0.253273,1.06023,-1.31902
0.0031930496,1.83495,-19.0057,6.86579,-0.155659,0.247121,0.0476759
0.0031930496,1.68805,-19.0024,6.686730000000001,0.176231,1.08324,-0.596374
0.0031930496,1.7885799999999998,-19.0022,6.69584,-0.0835641,1.2975299999999999,0.161949
0.0031930496,1.6294799999999998,-18.951,6.84917,-0.21024099999999998,1.23395,-0.792626
0.0031930496,1.8202,-19.0603,6.64774,-0.475905,0.651229,-0.63815
0.0031930496,1.77665,-19.1215,6.83547,-1.09311,0.374742,0.0853109
0.0031930496,1.73755,-18.9387,6.77692,0.49632200000000004,0.75603,-0.35115999999999997
0.0031930496,1.7309,-18.9804,6.962039999999999,-0.258955,0.7869109999999999,-0.38257399999999997
0.0031930496,1.6745700000000001,-18.9595,6.892760000000001,-0.204017,1.0845200000000002,0.21496700000000002
0.0031930496,1.7904099999999998,-19.1812,6.870239999999999,-0.666053,1.02189,-0.832775
0.0031930496,1.83027,-19.041,6.682689999999999,-0.12433499999999999,0.599011,0.159861
0.0031930496,1.65167,-19.1855,6.78175,-0.931531,0.9317770000000001,-0.500587
0.0031930496,1.68104,-19.0395,6.675680000000001,-0.153024,0.952367,0.263656
0.0031930496,1.7086700000000001,-19.1544,6.75628,-1.16429,0.46210100000000004,-0.354607
0.0031930496,1.86227,-19.1083,6.76558,-0.824441,0.313308,0.0185557
0.0031930496,1.63045,-19.0432,6.79148,0.20013,1.51217,-0.33808
0.0031930496,1.69829,-19.1627,6.76099,-1.10781,0.894192,-0.786303
0.0031930496,1.7387599999999999,-18.9077,6.789289999999999,0.271595,0.7588050000000001,-0.82189
0.0031930496,1.85657,-19.0231,6.91891,-0.0427289,0.5425479999999999,-0.509871
0.0031930496,1.76865,-19.1297,6.84262,-0.748049,0.167794,0.200599
0.0031930496,1.7851,-18.9331,6.82867,0.134284,0.566299,0.279952
0.0031930496,1.85073,-19.1348,6.920310000000001,-0.5026619999999999,0.636048,-0.595616
0.0031930496,1.7742,-19.1073,6.72629,-0.803899,0.313399,0.334418
0.0031930496,1.7552400000000001,-19.160999999999998,6.83697,-1.02426,0.224658,-0.38047600000000004
0.0031930496,1.60232,-19.0089,6.7282,-0.0893916,1.37329,-0.668031
0.0031930496,1.63725,-19.0627,6.7846,-0.275634,1.4983799999999998,-1.09607
0.0031930496,1.81902,-19.0429,6.6925300000000005,-0.26072399999999996,0.0250676,-0.29202
0.0031930496,1.7874400000000001,-18.9321,6.83783,0.207603,0.180321,-0.194642
0.0031930496,1.70338,-19.0826,6.72567,-1.42697,1.12911,-0.171402
0.0031930496,1.83834,-19.065,6.72099,-0.5020180000000001,0.181071,-1.0222
0.0031930496,1.80191,-19.078,6.96612,-0.538396,0.906357,0.047887400000000004
0.0031930496,1.85935,-19.079,6.769189999999999,-0.23912600000000003,0.0325319,-0.833375
0.0031930496,1.90372,-19.1129,6.8672699999999995,-0.776872,0.423476,-0.28384899999999996
0.0031930496,1.71449,-19.1773,6.76576,-1.26494,0.662181,-0.247916
0.0031930496,1.78358,-19.1522,6.71851,-1.20224,0.646928,-0.671379
0.0031930496,1.8035,-19.0737,6.753019999999999,-1.16352,0.45358000000000004,-1.15143
0.0031930496,1.74805,-18.9491,6.71345,0.37353400000000003,1.05059,-0.85895
0.0031930496,1.7448,-19.1764,6.84201,-0.877577,1.02373,-1.1099700000000001
0.0031930496,1.6829599999999998,-19.1974,6.87065,-0.9726290000000001,1.11964,-0.265852
0.0031930496,1.6795200000000001,-18.999000000000002,6.97032,-0.32943,1.24166,-0.548747
0.0031930496,1.8832400000000002,-19.1377,6.83105,-0.566298,0.318447,-0.852402
0.0031930496,1.57643,-18.9899,6.89162,-0.0340383,1.13226,-0.432066
0.0031930496,1.77394,-19.1569,6.7983899999999995,-1.26373,0.5436840000000001,-0.8606520000000001
0.0031930496,1.8086,-19.1677,6.74135,-1.14625,0.488849,-0.11367100000000001
0.0031930496,1.7646400000000002,-19.0651,6.84888,-0.527884,0.45325299999999996,-1.5115299999999998
0.0031930496,1.86042,-19.0682,6.771719999999999,-0.5536220000000001,-0.0126694,0.144958
0.0031930496,1.83317,-19.1499,6.79555,-1.11192,0.39538,0.0609117
0.0031930496,1.67995,-18.9774,6.85117,0.212511,1.34285,0.33216599999999996
0.0031930496,1.78774,-18.9518,6.75397,0.566928,0.507984,-0.139087
0.0031930496,1.85968,-18.9332,6.74777,0.187182,0.405935,-0.07303430000000001
0.0031930496,1.9009900000000002,-18.9828,6.89305,-0.199187,0.451416,0.0182114
